footfall,tempMode,AQ,USS,CS,VOC,RP,IP,Temperature,fail,air_risk,thermal_load,sensor_gap,mechanical_pressure,air_pressure_ratio,control_balance,operating_intensity,sensor_stability,risk_score,machine_health_index,machine_health_level,health_numeric
0,7,7,1,6,6,36,3,1,1,13,8,6,0.0,0.75,3,12.333333333333334,2.5099800796022267,0.9,0.09999999999999998,Level 5 - Critical,1
190,1,3,3,5,1,20,4,1,0,4,2,0,9.047619047619047,0.25,1,70.33333333333333,1.4832396974191326,0.37239726027397263,0.6276027397260273,Level 1 - Healthy,5
31,7,2,2,6,1,24,6,1,0,3,8,0,1.24,0.3333333333333333,0,18.666666666666668,2.4083189157584592,0.3662420091324201,0.6337579908675799,Level 1 - Healthy,5
83,4,3,4,5,1,28,6,1,0,4,5,-1,2.8620689655172415,0.25,-1,37.333333333333336,1.9235384061671346,0.34052968036529685,0.6594703196347032,Level 1 - Healthy,5
640,7,5,6,4,0,68,6,1,0,5,8,-1,9.27536231884058,0.0,-2,236.33333333333334,2.4899799195977463,0.2912328767123288,0.7087671232876712,Level 1 - Healthy,5
110,3,3,4,6,1,21,4,1,0,4,4,-1,5.0,0.25,2,44.0,1.816590212458495,0.34015981735159817,0.6598401826484018,Level 1 - Healthy,5
100,7,5,6,4,1,77,4,1,0,6,8,-1,1.2820512820512822,0.16666666666666666,0,59.333333333333336,1.8708286933869707,0.35696347031963466,0.6430365296803653,Level 1 - Healthy,5
31,1,5,4,5,4,21,4,1,0,9,2,1,1.4090909090909092,0.6666666666666666,1,17.666666666666668,0.5477225575051662,0.5995753424657534,0.4004246575342466,Level 3 - Moderate Risk,3
180,7,4,6,3,3,31,4,1,0,7,8,-2,5.625,0.6,-1,70.66666666666667,1.224744871391589,0.4308675799086758,0.5691324200913241,Level 2 - Low Risk,4
2800,0,3,3,7,0,39,3,1,0,3,1,0,70.0,0.0,4,946.6666666666666,2.4899799195977463,0.27831050228310505,0.721689497716895,Level 1 - Healthy,5
1600,0,3,2,4,4,26,2,1,0,7,1,1,59.25925925925926,1.0,2,542.3333333333334,1.0,0.5614155251141553,0.43858447488584473,Level 3 - Moderate Risk,3
330,5,4,3,6,1,31,4,1,0,5,6,1,10.3125,0.2,2,120.66666666666667,1.816590212458495,0.4121461187214612,0.5878538812785388,Level 2 - Low Risk,4
190,2,5,4,6,5,22,4,1,1,10,3,1,8.26086956521739,0.8333333333333334,2,71.0,0.8366600265340756,0.6557305936073059,0.3442694063926941,Level 3 - Moderate Risk,3
100,7,4,4,6,0,42,5,1,0,4,8,0,2.3255813953488373,0.0,1,47.666666666666664,2.280350850198276,0.3236301369863014,0.6763698630136986,Level 1 - Healthy,5
1000,7,5,7,4,0,74,1,1,0,5,8,-2,13.333333333333334,0.0,3,358.3333333333333,2.8809720581775866,0.25296803652968036,0.7470319634703196,Level 1 - Healthy,5
0,7,6,7,5,0,62,3,1,0,6,8,-1,0.0,0.0,2,21.0,2.7748873851023217,0.30833333333333335,0.6916666666666667,Level 1 - Healthy,5
130,7,4,4,5,1,58,3,1,0,5,8,0,2.2033898305084745,0.2,2,63.0,1.5165750888103102,0.3815525114155251,0.6184474885844748,Level 1 - Healthy,5
5,5,3,3,6,1,24,6,1,0,4,6,0,0.2,0.25,0,10.0,2.16794833886788,0.3749315068493151,0.6250684931506849,Level 1 - Healthy,5
33,7,6,2,6,5,51,4,1,1,11,8,4,0.6346153846153846,0.7142857142857143,2,28.333333333333332,1.6733200530681511,0.7662146118721462,0.23378538812785377,Level 4 - High Risk,2
19,2,2,1,4,0,36,3,2,0,2,4,1,0.5135135135135135,0.0,1,19.0,1.5811388300841898,0.3457542187810205,0.6542457812189795,Level 1 - Healthy,5
74,7,4,4,7,2,88,2,2,0,6,9,0,0.8314606741573034,0.4,5,54.666666666666664,2.04939015319192,0.4450007941234862,0.5549992058765139,Level 2 - Low Risk,4
190,0,2,4,6,2,20,4,2,0,4,2,-2,9.047619047619047,0.6666666666666666,2,70.66666666666667,1.6733200530681511,0.3600784196942624,0.6399215803057376,Level 1 - Healthy,5
