footfall,tempMode,AQ,USS,CS,VOC,RP,IP,Temperature,fail,air_risk,thermal_load,sensor_gap,mechanical_pressure,air_pressure_ratio,control_balance,operating_intensity,sensor_stability,risk_score,machine_health_index,machine_health_level,health_numeric,isolation_forest_anomaly_score,isolation_forest_anomaly_flag,lof_anomaly_score,lof_anomaly_flag
350,1,4,5,6,5,30,6,5,0,9,6,-1,11.290322580645162,1.0,0,128.33333333333334,0.8366600265340756,0.5959301171332142,0.4040698828667858,Level 3 - Moderate Risk,3,0.5346460080375135,1,1.233895182017949,1
33,7,4,5,7,0,70,2,10,0,4,17,-1,0.4647887323943662,0.0,5,37.66666666666666,2.701851217221259,0.3303450466547548,0.6696549533452452,Level 1 - Healthy,5,0.4898202485280334,0,1.064353611226066,0
0,7,4,3,5,2,43,6,21,0,6,28,1,0.0,0.4,-1,21.33333333333333,1.5811388300841898,0.5619565217391305,0.4380434782608695,Level 3 - Moderate Risk,3,0.4134519651894588,0,1.0256292564852991,0
0,4,4,3,6,0,39,6,23,0,4,27,1,0.0,0.0,0,20.666666666666668,2.4899799195977463,0.4539855072463767,0.5460144927536232,Level 2 - Low Risk,4,0.4245934526432693,0,0.9801683035567472,0
0,0,5,4,6,4,45,3,19,0,9,19,1,0.0,0.6666666666666666,3,21.33333333333333,1.140175425099138,0.6782608695652174,0.3217391304347826,Level 4 - High Risk,2,0.43816919961852396,0,1.073748864325287,0
0,6,6,3,6,6,77,3,17,1,12,23,3,0.0,0.8571428571428571,3,31.33333333333333,1.6431676725154984,0.861231884057971,0.1387681159420289,Level 5 - Critical,1,0.44261676889819834,0,1.0400195644504038,0
0,7,5,2,6,4,46,6,24,1,9,31,3,0.0,0.6666666666666666,0,23.33333333333333,1.6733200530681511,0.7666666666666666,0.2333333333333334,Level 4 - High Risk,2,0.4334423168839984,0,0.9957314680600416,0
51,5,3,3,6,0,72,6,20,0,3,25,0,0.6986301369863014,0.0,0,47.66666666666666,2.5099800796022267,0.3985767321818543,0.6014232678181457,Level 2 - Low Risk,4,0.4278649695832286,0,1.0120636619065884,0
430,5,4,5,7,1,53,3,20,0,5,25,-1,7.962962962962963,0.2,4,167.66666666666666,2.23606797749979,0.4267182846932698,0.5732817153067302,Level 2 - Low Risk,4,0.4573411163859437,0,1.0220877040959726,0
71,2,2,1,7,0,64,3,21,0,2,23,1,1.0923076923076922,0.0,4,52.0,2.70185121722126,0.427650585666071,0.5723494143339289,Level 2 - Low Risk,4,0.4767403163386639,0,1.1000415561346344,0
0,4,4,2,5,4,57,3,16,1,8,20,2,0.0,0.8,2,24.33333333333333,1.140175425099138,0.6902173913043477,0.3097826086956523,Level 4 - High Risk,2,0.42367775973193655,0,1.0308923101717835,0
0,7,4,6,3,0,45,3,22,0,4,29,-2,0.0,0.0,0,22.33333333333333,2.16794833886788,0.3496376811594203,0.6503623188405797,Level 1 - Healthy,5,0.4741120013196204,0,1.0845530243284107,0
390,7,4,5,3,1,43,3,7,0,5,14,-1,8.863636363636363,0.2,0,146.66666666666666,1.4832396974191326,0.3707444907683145,0.6292555092316855,Level 1 - Healthy,5,0.46234625338345187,0,1.0200965003145717,0
310,1,5,2,5,4,47,6,23,1,9,24,3,6.458333333333333,0.6666666666666666,-1,126.66666666666669,1.51657508881031,0.7580722652372444,0.2419277347627556,Level 4 - High Risk,2,0.4371136975233294,0,0.9873635080301136,0
350,3,6,3,6,6,68,4,13,1,12,16,3,5.072463768115942,0.8571428571428571,2,143.66666666666666,1.4142135623730951,0.8390460591621998,0.1609539408378002,Level 5 - Critical,1,0.45553209283245977,0,1.0534295534399,0
1,6,6,1,6,6,63,7,21,1,12,27,5,0.015625,0.8571428571428571,-1,28.33333333333333,2.3874672772626644,0.9452761564423268,0.0547238435576733,Level 5 - Critical,1,0.4757599158679415,0,1.0349969291724768,0
18,5,5,2,5,3,53,5,23,1,8,28,3,0.3333333333333333,0.5,0,31.33333333333333,1.4142135623730951,0.703738931903911,0.296261068096089,Level 4 - High Risk,2,0.42098291644327884,0,1.0032919646608967,0
0,7,5,2,6,6,45,4,21,1,11,28,3,0.0,1.0,2,22.0,1.6733200530681511,0.8702898550724637,0.1297101449275363,Level 5 - Critical,1,0.4263987664738994,0,1.0051568830030597,0
40,0,4,2,4,1,38,3,16,1,5,16,2,1.0256410256410255,0.2,1,31.33333333333333,1.3038404810405295,0.5146694460988683,0.4853305539011316,Level 3 - Moderate Risk,3,0.43856782748054934,0,1.049511883208109,0
